Sample in Buffer,Sample in Window,TRIGGER,axis_rx_tdata_1[511:0],axis_rx_tvalid_1,axis_rx_tuser_1,axis_rx_tkeep_1[63:0],axis_rx_tlast_1,axis_tx_tdata_1[511:0],axis_tx_tvalid_1,axis_tx_tkeep_1[63:0],axis_tx_tlast_1,axis_tx_tready_1,lbus_reset,lbus1_tx_ovfout,lbus1_tx_unfout,RefClkLocked,Reset,qsfp1_intl_ls_IBUF
74,10,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
75,11,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
76,12,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
77,13,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
78,14,1,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,a5199eda0000000000000000ffffffff0000000401da4dfb120078b510279664a8c00a64a8c025da11400040b016260000450008924102350a00acfbc34b6b50,1,0fffffffffffffff,1,1,0,0,0,1,0,1
79,15,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
80,0,0,00000000000000000000000000000000000000000000000000450008acfbc34b6b50924102350a00d55555555555557800450008acfbc34b6b50924102350a00,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
81,1,0,000000000000000000000000ffffffff0000000501da4dfa1200102778b50a64a8c09664a8c024da11400040b116260000450008acfbc34b6b50924102350a00,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
82,2,0,499fb3640000000000000000ffffffff0000000501da4dfa1200102778b50a64a8c09664a8c024da11400040b116260000450008acfbc34b6b50924102350a00,1,0,0fffffffffffffff,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
83,3,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e0000000000000000499fb36400000000,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
